,57,246
10,57,246
20,58,240
30,58,240
40,58,238
50,59,232
60,62,227
70,62,224
80,64,218
90,65,217
100,66,213
110,68,208
120,69,205
130,70,200
140,70,198
150,71,196
160,72,194
170,72,191
180,73,188
190,73,184
200,73,182
210,75,181
220,76,180
230,76,178
240,76,178
250,79,175
260,79,176
270,81,176
280,81,173
290,82,171
300,82,169
310,83,168
320,84,164
330,85,166
340,87,166
350,87,167
360,89,166
370,89,162
380,91,161
390,91,161
400,93,157
410,94,157
420,94,157
430,97,159
440,97,160
450,97,158
460,97,158
470,97,157
480,97,155
490,99,154
500,101,154
510,101,153
520,101,153
530,101,150
540,102,149
550,103,147
560,103,147
570,106,149
580,106,152
590,112,152
600,117,147
610,117,146
620,117,143
630,118,141
640,118,143
650,118,142
660,118,140
670,120,137
680,120,135
690,120,133
700,121,131
710,121,130
720,121,129
730,125,127
740,125,127
750,125,125
760,125,119
770,129,117
780,129,116
790,129,114
800,129,114
810,129,116
820,131,115
830,136,112
840,136,112
850,136,111
860,136,109
870,135,111
880,137,106
890,137,106
900,137,106
910,137,104
920,141,103
930,141,99
940,142,99
950,142,100
960,142,99
970,144,97
980,144,98
990,145,97
1000,169,95
1010,181,94
1020,181,91
1030,182,91
1040,233,91
1050,238,92
1060,265,93
1070,266,92
1080,268,92
1090,269,92
1100,271,92
1110,275,91
1120,276,91
1130,276,91
1140,278,91
1150,278,92
1160,279,89
1170,279,89
1180,279,88
1190,313,88
1200,313,89
1210,313,88
1220,314,88
1230,316,88
1240,310,88
1250,311,87
1260,312,87
1270,311,87
1280,312,87
1290,312,87
1300,311,87
1310,310,84
1320,308,84
1330,308,84
1340,306,84
1350,306,82
1360,306,82
1370,305,82
1380,304,82
1390,305,82
1400,303,82
1410,302,82
1420,302,82
1430,303,82
1440,301,82
1450,300,82
1460,300,82
1470,303,83
1480,303,83
1490,302,83
1500,301,83
1510,301,83
1520,300,83
1530,300,83
1540,300,83
1550,300,83
1560,300,83
1570,300,83
1580,296,83
1590,294,83
1600,296,83
1610,295,83
1620,295,83
1630,294,83
1640,294,83
1650,288,83
1660,286,83
1670,286,83
1680,285,83
1690,285,83
1700,280,83
1710,279,83
1720,279,83
1730,279,83
1740,277,83
1750,276,83
1760,276,83
1770,276,83
1780,271,83
1790,270,83
1800,270,83
1810,270,83
1820,260,83
1830,260,83
1840,249,83
1850,247,83
1860,244,83
1870,243,83
1880,236,83
1890,230,83
1900,229,83
1910,228,83
1920,221,83
1930,220,83
1940,219,83
1950,218,83
1960,218,83
1970,200,83
1980,193,83
1990,192,83
2000,192,83
2010,192,83
2020,187,83
2030,187,83
2040,187,83
2050,186,83
2060,183,83
2070,181,83
2080,179,83
2090,179,83
2100,179,83
2110,179,83
2120,175,83
2130,174,83
2140,173,83
2150,173,83
2160,167,83
2170,166,83
2180,165,83
2190,157,83
2200,156,83
2210,156,83
2220,146,83
2230,146,83
2240,144,84
2250,141,84
2260,140,84
2270,133,84
2280,131,84
2290,128,84
2300,111,84
2310,108,84
2320,105,85
2330,96,85
2340,88,85
2350,66,85
2360,66,85
2370,63,85
2380,62,85
2390,61,85
2400,57,85
2410,55,85
2420,54,85
2430,52,85
2440,50,85
2450,50,85
2460,49,85
2470,49,85
2480,38,85
2490,37,85
2500,36,85
2510,34,85
2520,34,85
2530,31,85
2540,31,86
2550,31,86
2560,31,86
2570,31,86
2580,31,86
2590,31,86
2600,31,86
2610,29,86
2620,27,86
2630,27,86
2640,25,86
2650,25,86
2660,24,86
2670,20,86
2680,19,86
2690,19,86
2700,19,86
2710,17,86
2720,15,86
2730,13,86
2740,13,86
2750,13,86
2760,10,86
2770,10,86
2780,10,86
2790,10,86
2800,10,86
2810,9,86
2820,9,86
2830,9,86
2840,9,86
2850,9,86
2860,9,86
2870,8,86
2880,8,86
2890,8,86
2900,8,86
2910,8,86
2920,8,86
2930,8,86
2940,8,86
2950,8,86
2960,7,86
2970,7,86
2980,7,86
2990,7,86
3000,7,86
3010,7,86
3020,7,86
3030,7,86
3040,7,86
3050,7,86
3060,7,86
3070,7,86
3080,7,86
3090,6,86
3100,3,86
3110,3,86
3120,3,86
3130,3,86
3140,3,86
3150,3,86
3160,3,86
3170,2,86
3180,1,86
3190,1,86
3200,1,86
3210,1,86
3220,1,86
3230,1,86
3240,1,86
3250,1,86
3260,1,86
3270,1,86
3280,1,86
3290,1,86
3300,1,86
3310,0,86
3320,0,86
3330,0,86
3340,0,86
3350,0,86
3360,0,86
3370,0,86
3380,0,86
3390,0,86
3400,0,86
3410,0,86
3420,0,86
3430,0,86
3440,0,86
3450,0,86
3460,0,86
3470,0,86
3480,0,86
3490,0,86
3500,0,86
3510,0,86
3520,0,86
3530,0,86
3540,0,86
3550,0,86
3560,0,86
3570,0,86
3580,0,86
3590,0,86
3600,0,86
3610,0,86
3620,0,86
3630,0,86
3640,0,86
3650,0,86
3660,0,86
3670,0,86
3680,0,86
3690,0,86
3700,0,86
3710,0,86
3720,0,86
3730,0,86
3740,0,86
3750,0,86
3760,0,86
3770,0,86
3780,0,86
3790,0,86
3800,0,86
3810,0,86
3820,0,86
3830,0,86
3840,0,86
3850,0,86
3860,0,86
3870,0,86
3880,0,86
3890,0,86
3900,0,86
3910,0,86
3920,0,86
3930,0,86
3940,0,86
3950,0,86
3960,0,86
3970,0,86
3980,0,86
3990,0,86
4000,0,86
4010,0,86
4020,0,86
4030,0,86
4040,0,86
4050,0,86
4060,0,86
4070,0,86
4080,0,86
4090,0,86
4100,0,86
4110,0,86
4120,0,86
4130,0,86
4140,0,86
4150,0,86
4160,0,86
4170,0,86
4180,0,86
4190,0,86
4200,0,86
4210,0,86
4220,0,86
4230,0,86
4240,0,86
4250,0,86
4260,0,86
4270,0,86
4280,0,86
4290,0,86
4300,0,86
4310,0,86
4320,0,86
4330,0,86
4340,0,86
4350,0,86
4360,0,86
4370,0,86
4380,0,86
4390,0,86
4400,0,86
4410,0,86
4420,0,86
4430,0,86
4440,0,86
4450,0,86
4460,0,86
4470,0,86
4480,0,86
4490,0,86
4500,0,86
4510,0,86
4520,0,86
4530,0,86
4540,0,86
4550,0,86
4560,0,86
4570,0,86
4580,0,86
4590,0,86
4600,0,86
4610,0,86
4620,0,86
4630,0,86
4640,0,86
4650,0,86
4660,0,86
4670,0,86
